parameters,fit_value,mirror,function,dipole_force,Particles,iterations,Inertia,Cognitive,Social,Runtime
"[-14.366, -53.063, 54.205, 309.129, 37.989, 29.74, 3.0, 4.988, 0.297, 0.703, 5.0, 0.0]",0.9451987508095503,-1,pencil,True,50,50,0.4,1,2,31.914700300025288
"[90.0, -22.142, 71.887, 258.045, -35.885, 45.0, 3.05, 5.0, 0.0, 1.0, 1.0, 0.0]",1.0686366216612284,-1,pencil,True,50,50,0.4,1,2,31.709369900025195
"[89.972, 56.062, 108.115, 179.851, 35.871, 45.0, 3.05, 5.0, 0.0, 1.0, 1.013, 0.0]",1.0686371496173015,-1,pencil,True,50,50,0.4,1,2,31.322183899988886
"[-41.214, -28.149, 75.873, 8.933, 29.623, -30.902, 3.0, 3.966, 0.585, 0.415, 4.837, 0.0]",0.9927657701781745,-1,pencil,True,50,50,0.4,1,2,31.766362000023946
"[-61.652, 73.234, 64.858, 131.384, -18.341, -45.0, 3.05, 5.0, 0.0, 1.0, 4.035, 0.0]",1.023287690781366,-1,pencil,True,50,50,0.4,1,2,30.34882079999079
"[51.915, 90.0, 94.182, 146.202, -45.0, 34.562, 3.019, 3.635, 0.566, 0.434, 2.841, 0.0]",1.02909129478339,-1,pencil,True,50,50,0.4,1,2,31.71255050000036
"[81.973, 37.484, 48.929, 196.798, -18.444, 45.0, 3.0, 5.0, 0.717, 0.283, 4.717, 0.0]",1.0187510718569448,-1,pencil,True,50,50,0.4,1,2,35.50338909999118
"[27.914, -90.0, 89.814, 326.082, 26.364, 45.0, 3.05, 4.17, 0.061, 0.939, 3.284, 0.0]",1.0164629932355642,-1,pencil,True,50,50,0.4,1,2,33.40513379999902
"[-58.701, 75.499, 63.279, 133.67, -19.623, -44.997, 3.04, 5.0, 0.986, 0.014, 1.512, 0.0]",1.022618847024866,-1,pencil,True,50,50,0.4,1,2,29.887467599997763
"[90.0, 45.272, 174.577, 360.0, 45.0, -45.0, 3.0, 3.639, 0.0, 1.0, 5.0, 0.0]",1.7586415741352908,-1,pencil,True,50,50,0.4,1,2,33.16640170000028
"[19.501, -90.0, 82.603, 326.328, 28.678, 44.999, 3.026, 4.67, 1.0, 0.0, 4.268, 0.0]",1.0162357653457597,-1,pencil,True,50,50,0.4,1,2,30.01080479999655
"[90.0, -90.0, 75.836, 325.917, -32.423, 45.0, 3.0, 5.0, 0.74, 0.26, 2.523, 0.0]",1.0689431221701398,-1,pencil,True,50,50,0.4,1,2,30.342569700005697
"[90.0, -29.831, 133.02, 265.703, 16.103, 45.0, 3.001, 5.0, 0.0, 1.0, 1.0, 0.0]",1.0572129975846618,-1,pencil,True,50,50,0.4,1,2,28.64217059998191
"[-4.332, -90.0, 133.44, 326.161, 45.0, -34.921, 3.0, 5.0, 1.0, 0.0, 1.73, 0.0]",1.0282845907292766,-1,pencil,True,50,50,0.4,1,2,30.7340295999893
"[-90.0, -55.931, 76.151, 0.0, 32.154, -45.0, 3.0, 5.0, 0.0, 1.0, 1.001, 0.0]",1.0689458504476532,-1,pencil,True,50,50,0.4,1,2,28.701172400003998
"[90.0, 27.128, 71.91, 208.764, -35.852, 45.0, 3.05, 5.0, 1.0, 0.0, 3.16, 0.0]",1.068637221340316,-1,pencil,True,50,50,0.4,1,2,29.31605560000753
"[-78.15, -54.345, 53.237, 360.0, 19.177, -45.0, 3.05, 5.0, 0.254, 0.746, 4.995, 0.0]",1.015989901619498,-1,pencil,True,50,50,0.4,1,2,30.02016569999978
"[90.0, 90.0, 72.472, 145.81, -35.373, 45.0, 3.05, 5.0, 0.0, 1.0, 1.0, 0.0]",1.0686611104989918,-1,pencil,True,50,50,0.4,1,2,28.651827699999558
"[-90.0, 90.0, 45.974, 145.924, 17.109, -45.0, 3.05, 5.0, 0.799, 0.201, 5.0, 0.0]",1.056805595457436,-1,pencil,True,50,50,0.4,1,2,38.94328740000492
"[-76.723, -62.133, 44.168, 351.361, 27.219, -40.167, 3.05, 5.0, 1.0, 0.0, 5.0, 0.0]",1.0061350138857272,-1,pencil,True,50,50,0.4,1,2,35.79198640002869
"[-90.0, -55.902, 71.926, 360.0, 35.852, -45.0, 3.05, 5.0, 0.929, 0.071, 4.636, 0.0]",1.0686365498147872,-1,pencil,True,50,50,0.4,1,2,35.851563799980795
"[90.0, 48.556, 134.031, 187.368, 17.113, 45.0, 3.05, 5.0, 0.0, 1.0, 5.0, 0.0]",1.056805598609483,-1,pencil,True,50,50,0.4,1,2,35.14313250000123
"[-74.898, 58.531, 109.662, 120.118, -45.0, -40.082, 3.05, 5.0, 0.692, 0.308, 5.0, 0.0]",1.03878727442761,-1,pencil,True,50,50,0.4,1,2,33.89115660000243
